257908,Arjun Panlilio,M,58,Software Development Team,5,30383.25,permanent
374872,Nicholas Dimalanta,M,30,Human Resource,1,31152.5,not permanent
329953,Aura Villegas,F,26,Marketing,6,27381,not permanent
299334,Jaiden Yllana,M,28,Marketing,5,32379.25,not permanent
257033,Blanca Capulong,F,44,IT Services,5,33676.25,not permanent
278667,Blas Palad,M,32,Human Resource,8,32098.5,not permanent
302284,Jordon Gatdula,M,33,IT Services,7,21605.75,permanent
253360,Brigida Castañares,F,50,Human Resource,15,28433.25,permanent
385442,Solomon Rivera,M,32,Marketing,8,31622.25,permanent
353810,Jamie Lingao,M,34,Marketing,4,20444.25,not permanent
380966,Juanita Ignacio,F,47,IT Services,3,35157.25,not permanent
297836,Janet Alegre,F,57,Marketing,10,26950,permanent
255168,Rigoberto Cuenca,M,38,Software Development Team,11,35574,permanent
250400,Conrado Ylagan,M,36,Marketing,13,27568,permanent
394392,Corazon Lualhati,F,47,Human Resource,1,31040.75,not permanent
